epoch,stage,stage_name,train_acc,train_loss,test_full_acc,test_100_acc,sparsity,flops_T,time_s,E_airplane,C_airplane,acc_airplane,E_automobile,C_automobile,acc_automobile,E_bird,C_bird,acc_bird,E_cat,C_cat,acc_cat,E_deer,C_deer,acc_deer,E_dog,C_dog,acc_dog,E_frog,C_frog,acc_frog,E_horse,C_horse,acc_horse,E_ship,C_ship,acc_ship,E_truck,C_truck,acc_truck
1,1,Stage 1 Easy,0.20608,2.2440167294692994,0.2324,0.23,0.9669511410654918,0.00923555928,17.72341561317444,2.1775071736501186,0.0,0.01,2.022682792678171,0.0004604610861564169,0.18,2.2364139307518394,0.0,0.04,2.2641036771998113,0.0,0.03,2.252991402635769,0.0,0.07,2.236268324511392,0.0,0.32,1.9684695656202278,0.00011922267018532266,0.26,2.2867596265004604,0.0,0.18,1.967376949227586,0.0,0.62,2.103516055613148,0.0,0.59
2,1,Stage 1 Easy,0.30656,1.8653737481689454,0.2818,0.279,0.9861992632368655,0.013084061768,34.327990770339966,1.792021772082971,0.0009619849068777901,0.11,1.6276845124607184,0.00522700058562415,0.56,2.0625621506146024,0.0,0.05,2.051535735933148,0.0,0.03,2.0568700165164713,0.0,0.54,1.9223860383641964,0.0022646465471812655,0.4,1.800736433693341,0.0007153302431106567,0.2,1.928937856336029,0.00043218385200111234,0.44,1.6419455579348974,0.001584768295288086,0.21,1.670935036576524,3.7733389406788107e-06,0.25
3,1,Stage 1 Easy,0.36368,1.703498762588501,0.3546,0.353,0.9872521012945739,0.016622336216,51.05229163169861,1.6604369982164733,0.00357734244696948,0.36,1.4922161850394036,0.015701560341582006,0.6,1.9632088462917172,0.0,0.0,1.9063982154641832,0.0,0.44,1.9435365625790186,0.0,0.31,1.72213963647278,0.0016094470510677416,0.52,1.698048287508439,0.001462398743142887,0.25,1.7611510473854688,0.0008283087185450963,0.22,1.4839124372419046,0.008853260655792393,0.48,1.607441393696532,0.002513926856371821,0.35
4,1,Stage 1 Easy,0.42768,1.5669978263092041,0.4031,0.398,0.9870118799219039,0.020233313096,68.57707071304321,1.521786985348682,0.0069800846430720116,0.54,1.3019991579408547,0.024713711927131732,0.78,1.8548468837932663,0.0,0.18,1.900984414377991,0.0,0.07,1.8427197556106412,0.0,0.11,1.631647837405302,0.0021305339676993234,0.56,1.5187466521652377,0.00805819095397482,0.51,1.6058746916907174,0.0012797986974521559,0.46,1.3587265469285907,0.027459230502041018,0.45,1.454084038734436,0.0035154040978879345,0.32
5,1,Stage 1 Easy,0.47928,1.4604937808227538,0.4205,0.414,0.9861303585121584,0.024053008392,85.38192439079285,1.4276968885441215,0.013970930965579286,0.44,1.1872684522246828,0.04895569672998117,0.38,1.7908752791735592,0.0,0.27,1.8045999979486271,0.0,0.1,1.7774820443318815,0.0,0.2,1.500270741934679,0.011587634378550003,0.2,1.365673108672609,0.02956202960744196,0.67,1.518766955149417,0.012729902352605547,0.57,1.2187076873925267,0.04587313107081822,0.83,1.3644110691182467,0.0209631831670294,0.48
6,1,Stage 1 Easy,0.49904,1.3859627738952636,0.4393,0.439,0.9844524028089514,0.0283725042,102.0842056274414,1.3873016368977877,0.019427427527855853,0.29,1.0843337001849194,0.09500039292841542,0.6,1.7159534133210474,0.0005606595350771534,0.44,1.7669375575318629,0.0,0.27,1.702748098543712,0.0,0.27,1.4820854660807823,0.014852508902549744,0.56,1.2090192519280376,0.05014064999259248,0.4,1.4631584189376052,0.010779091898275882,0.34,1.16895057595506,0.0631648490623552,0.92,1.2510860635309804,0.0375384305204664,0.3
7,1,Stage 1 Easy,0.55336,1.2539584074020387,0.5132,0.503,0.9830023525830384,0.033082053032,119.3390588760376,1.2647574046740726,0.04369841166296784,0.43,0.9468903096810896,0.1672158941474496,0.56,1.6097168359829455,0.00030553371322398283,0.49,1.7050209690113456,0.0,0.11,1.6064604472140878,0.004276832755731076,0.42,1.3259427357389002,0.02123970781662026,0.44,1.1031616635772648,0.08280121413420657,0.71,1.2879371211236836,0.04988220820621568,0.64,1.0192642519060446,0.12756339597458743,0.69,1.063608321760382,0.09842956659136987,0.54
8,1,Stage 1 Easy,0.5808,1.17094153755188,0.5269,0.548,0.9828768503535822,0.037836152328,136.40177655220032,1.1636862008243192,0.07066091454150725,0.26,0.8269170538085152,0.24495171434341037,0.87,1.526247856568317,0.002275289321432308,0.3,1.6878908538088506,0.0007650450784332898,0.2,1.5044544229702073,0.00576669160200625,0.43,1.2936482687993927,0.02767575790687483,0.71,1.0276922275863436,0.1415722227788397,0.73,1.2046039724836544,0.0800245203533951,0.5,0.9230921656957695,0.1813395705302151,0.85,1.0151711015068754,0.1259739490187898,0.63
9,1,Stage 1 Easy,0.62112,1.0741203000259398,0.5475,0.538,0.9819603944109582,0.042845457208,153.065904378891,1.0841055624947256,0.11163926215804353,0.45,0.6902658435306988,0.34816039939011845,0.56,1.4568477400711604,0.007916347712886577,0.37,1.601742712514741,0.001076072150347184,0.56,1.4222541317647817,0.016419318257545938,0.52,1.2055378939424242,0.03910875867824165,0.33,0.9554933644070918,0.16099174655213647,0.71,1.1292701171597048,0.09128214787615806,0.54,0.7904736209584742,0.27851160281166737,0.59,0.8632572187604953,0.21892225643505855,0.75
10,1,Stage 1 Easy,0.65896,0.971285904712677,0.6007,0.608,0.9810964608102816,0.04810206044,170.16250610351562,0.9878534268663854,0.13791015364077627,0.53,0.5933931858696956,0.4281032317013917,0.74,1.3153653962879766,0.026626145657227963,0.41,1.5230298410264813,0.00370832943186468,0.36,1.2913018142690464,0.025084870810411414,0.49,1.1099269929893163,0.08979468093234666,0.6,0.8951243337015716,0.19994786396926764,0.78,0.9849716655301805,0.1536306800434784,0.51,0.6892812407138397,0.3605153490694202,0.91,0.7414626923142648,0.3055829028693997,0.75
